Time (s),Frequency (Hz)
5.489999999999927,51000.0
5.499999999999927,51100.0
5.509999999999927,51000.0
5.519999999999927,51000.0
5.5299999999999265,51000.0
5.539999999999926,51100.0
5.549999999999926,51000.0
5.559999999999926,51000.0
5.569999999999926,51000.0
5.5799999999999255,51100.0
5.589999999999925,51000.0
5.599999999999925,51000.0
5.609999999999925,51000.0
5.619999999999925,51100.0
5.629999999999924,51000.0
5.639999999999924,51000.0
5.649999999999924,51000.0
5.659999999999924,51100.0
5.6699999999999235,51000.0
5.679999999999923,51000.0
5.689999999999923,51000.0
5.699999999999923,51100.0
5.709999999999923,51000.0
5.7199999999999225,51000.0
5.729999999999922,51000.0
5.739999999999922,51100.0
5.749999999999922,51000.0
5.759999999999922,51000.0
5.769999999999921,51000.0
5.779999999999921,51000.0
5.789999999999921,51100.0
5.799999999999921,51000.0
5.809999999999921,51000.0
5.81999999999992,51000.0
5.82999999999992,51100.0
5.83999999999992,51000.0
5.84999999999992,51000.0
5.8599999999999195,51000.0
5.869999999999919,51100.0
5.879999999999919,51000.0
5.889999999999919,51000.0
5.899999999999919,51000.0
5.909999999999918,51100.0
5.919999999999918,51000.0
5.929999999999918,51000.0
5.939999999999918,51000.0
5.949999999999918,51100.0
5.959999999999917,51000.0
5.969999999999917,51000.0
5.979999999999917,51000.0
5.989999999999917,51000.0
5.9999999999999165,51100.0
6.009999999999916,51000.0
6.019999999999916,51000.0
6.029999999999916,51100.0
6.039999999999916,51000.0
6.0499999999999154,51000.0
6.059999999999915,51000.0
6.069999999999915,51100.0
6.079999999999915,51000.0
6.089999999999915,51000.0
6.099999999999914,51000.0
6.109999999999914,51000.0
6.119999999999914,51100.0
6.129999999999914,51000.0
6.1399999999999135,51000.0
6.149999999999913,51000.0
6.159999999999913,51100.0
6.169999999999913,51000.0
6.179999999999913,51000.0
6.1899999999999125,51000.0
6.199999999999912,51100.0
6.209999999999912,51000.0
6.219999999999912,51000.0
6.229999999999912,51000.0
6.239999999999911,51100.0
6.249999999999911,51000.0
6.259999999999911,51000.0
6.269999999999911,51000.0
6.2799999999999105,51100.0
6.28999999999991,51000.0
6.29999999999991,51000.0
6.30999999999991,51000.0
6.31999999999991,51100.0
6.3299999999999095,51000.0
6.339999999999909,51000.0
6.349999999999909,51000.0
6.359999999999909,51100.0
6.369999999999909,51000.0
6.379999999999908,51000.0
6.389999999999908,51000.0
6.399999999999908,51000.0
6.409999999999908,51100.0
6.419999999999908,51000.0
6.429999999999907,51000.0
6.439999999999907,51000.0
6.449999999999907,51100.0
6.459999999999907,51000.0
6.4699999999999065,51000.0
6.479999999999906,51000.0
6.489999999999906,51100.0
6.499999999999906,51000.0
6.509999999999906,51000.0
6.519999999999905,51000.0
6.529999999999905,51100.0
6.539999999999905,51000.0
6.549999999999905,51000.0
6.559999999999905,51000.0
6.569999999999904,51100.0
6.579999999999904,51000.0
6.589999999999904,51000.0
6.599999999999904,51000.0
6.6099999999999035,51100.0
6.619999999999903,51000.0
6.629999999999903,51000.0
6.639999999999903,51000.0
6.649999999999903,51100.0
6.659999999999902,51000.0
6.669999999999902,51000.0
6.679999999999902,51000.0
6.689999999999902,51100.0
6.699999999999902,51000.0
6.709999999999901,51000.0
6.719999999999901,51000.0
6.729999999999901,51000.0
6.739999999999901,51100.0
6.7499999999999005,51000.0
6.7599999999999,51000.0
6.7699999999999,51000.0
6.7799999999999,51100.0
6.7899999999999,51000.0
6.7999999999998995,51000.0
6.809999999999899,51000.0
6.819999999999899,51100.0
6.829999999999899,51000.0
6.839999999999899,51000.0
6.849999999999898,51000.0
6.859999999999898,51100.0
6.869999999999898,51000.0
6.879999999999898,51000.0
6.8899999999998975,51000.0
6.899999999999897,51100.0
6.909999999999897,51000.0
