Time (s),Frequency (Hz)
4.469999999999949,48900.0
4.479999999999949,48900.0
4.489999999999949,48900.0
4.4999999999999485,48900.0
4.509999999999948,48900.0
4.519999999999948,48900.0
4.529999999999948,49000.0
4.539999999999948,48900.0
4.549999999999947,48900.0
4.559999999999947,48900.0
4.569999999999947,48900.0
4.579999999999947,48900.0
4.589999999999947,48900.0
4.599999999999946,48900.0
4.609999999999946,49000.0
4.619999999999946,48900.0
4.629999999999946,48900.0
4.6399999999999455,48900.0
4.649999999999945,48900.0
4.659999999999945,48900.0
4.669999999999945,48900.0
4.679999999999945,48900.0
4.689999999999944,48900.0
4.699999999999944,49000.0
4.709999999999944,48900.0
4.719999999999944,48900.0
4.729999999999944,48900.0
4.739999999999943,48900.0
4.749999999999943,48900.0
4.759999999999943,48900.0
4.769999999999943,48900.0
4.7799999999999425,48900.0
4.789999999999942,49000.0
4.799999999999942,48900.0
4.809999999999942,48900.0
4.819999999999942,48900.0
4.8299999999999415,48900.0
4.839999999999941,48900.0
4.849999999999941,48900.0
4.859999999999941,48900.0
4.869999999999941,48900.0
4.87999999999994,49000.0
4.88999999999994,48900.0
4.89999999999994,48900.0
4.90999999999994,48900.0
4.9199999999999395,48900.0
4.929999999999939,48900.0
4.939999999999939,48900.0
4.949999999999939,48900.0
4.959999999999939,49000.0
4.9699999999999385,48900.0
4.979999999999938,48900.0
4.989999999999938,48900.0
4.999999999999938,48900.0
5.009999999999938,48900.0
5.019999999999937,48900.0
5.029999999999937,48900.0
5.039999999999937,48900.0
5.049999999999937,49000.0
5.0599999999999365,48900.0
5.069999999999936,48900.0
5.079999999999936,48900.0
5.089999999999936,48900.0
5.099999999999936,48900.0
5.1099999999999355,48900.0
5.119999999999935,48900.0
5.129999999999935,48900.0
5.139999999999935,48900.0
5.149999999999935,49000.0
5.159999999999934,48900.0
5.169999999999934,48900.0
5.179999999999934,48900.0
5.189999999999934,48900.0
5.199999999999934,48900.0
5.209999999999933,48900.0
5.219999999999933,48900.0
5.229999999999933,49000.0
5.239999999999933,48900.0
5.2499999999999325,48900.0
5.259999999999932,48900.0
5.269999999999932,48900.0
5.279999999999932,48900.0
5.289999999999932,48900.0
5.299999999999931,48900.0
5.309999999999931,48900.0
5.319999999999931,49000.0
5.329999999999931,48900.0
5.339999999999931,48900.0
5.34999999999993,48900.0
5.35999999999993,48900.0
5.36999999999993,48900.0
5.37999999999993,48900.0
5.3899999999999295,48900.0
5.399999999999929,49000.0
5.409999999999929,48900.0
5.419999999999929,48900.0
5.429999999999929,48900.0
5.4399999999999284,48900.0
5.449999999999928,48900.0
5.459999999999928,48900.0
5.469999999999928,48900.0
5.479999999999928,48900.0
5.489999999999927,49000.0
5.499999999999927,48900.0
5.509999999999927,48900.0
5.519999999999927,48900.0
5.5299999999999265,48900.0
5.539999999999926,48900.0
5.549999999999926,48900.0
5.559999999999926,48900.0
5.569999999999926,49000.0
5.5799999999999255,48900.0
5.589999999999925,48900.0
5.599999999999925,48900.0
5.609999999999925,48900.0
5.619999999999925,48900.0
5.629999999999924,48900.0
5.639999999999924,48900.0
5.649999999999924,48900.0
5.659999999999924,49000.0
5.6699999999999235,48900.0
5.679999999999923,48900.0
5.689999999999923,48900.0
5.699999999999923,48900.0
5.709999999999923,48900.0
5.7199999999999225,48900.0
5.729999999999922,48900.0
5.739999999999922,48900.0
5.749999999999922,49000.0
5.759999999999922,48900.0
5.769999999999921,48900.0
5.779999999999921,48900.0
5.789999999999921,48900.0
5.799999999999921,48900.0
5.809999999999921,48900.0
5.81999999999992,48900.0
5.82999999999992,48900.0
5.83999999999992,49000.0
5.84999999999992,48900.0
5.8599999999999195,48900.0
5.869999999999919,48900.0
5.879999999999919,48900.0
5.889999999999919,48900.0
5.899999999999919,48900.0
5.909999999999918,48900.0
5.919999999999918,48900.0
5.929999999999918,49000.0
5.939999999999918,48900.0
5.949999999999918,48900.0
5.959999999999917,48900.0
5.969999999999917,48900.0
5.979999999999917,48900.0
5.989999999999917,48900.0
5.9999999999999165,48900.0
6.009999999999916,48900.0
6.019999999999916,49000.0
6.029999999999916,48900.0
6.039999999999916,48900.0
6.0499999999999154,48900.0
6.059999999999915,48900.0
6.069999999999915,48900.0
6.079999999999915,48900.0
6.089999999999915,48900.0
6.099999999999914,48900.0
6.109999999999914,49000.0
6.119999999999914,48900.0
6.129999999999914,48900.0
6.1399999999999135,48900.0
6.149999999999913,48900.0
6.159999999999913,48900.0
6.169999999999913,48900.0
6.179999999999913,48900.0
6.1899999999999125,49000.0
6.199999999999912,48900.0
6.209999999999912,48900.0
6.219999999999912,48900.0
6.229999999999912,48900.0
6.239999999999911,48900.0
6.249999999999911,48900.0
